run,fitness,n_evaluations,experiment_id
0,412039.1068524219,109,7
1,340454.41336052935,197,7
2,371824.91326370166,121,7
3,378619.61682561407,143,7
4,308612.3691720095,133,7
5,386829.0829733724,211,7
6,301084.80779827625,65,7
7,357242.7867042882,115,7
8,313620.79274439736,45,7
9,370890.6909829091,65,7
10,341070.0608529649,103,7
11,408576.5701423927,269,7
12,372260.026871937,97,7
13,367230.16046536126,125,7
14,419103.81559380324,161,7
15,353539.3043950733,63,7
16,377946.32907665375,151,7
17,439864.11303785886,131,7
18,304026.6275701119,123,7
19,441081.8308106184,171,7
20,393014.81062294904,135,7
21,377640.84257790487,79,7
22,353458.98910046514,93,7
23,362670.46283927443,141,7
24,414375.1571323478,109,7
25,347618.14365201135,101,7
26,370855.07384780195,61,7
27,425551.5054042747,161,7
28,377115.1749361416,91,7
29,385090.69724077673,155,7
30,393461.0665721413,139,7
