run,fitness,n_evaluations,experiment_id
0,55895.866169722955,79,1
1,60191.74600452488,67,1
2,65152.2710384417,105,1
3,70921.59862586329,187,1
4,59444.58695927602,157,1
5,72046.17293522267,141,1
6,68289.81819552273,163,1
7,56185.168016194315,105,1
8,61523.42276653171,95,1
9,73037.3486953739,253,1
10,66467.40562078272,79,1
11,52271.72680677941,57,1
12,65376.53603677465,103,1
13,68703.3713370788,193,1
14,59859.06153541319,61,1
15,57227.54488830672,109,1
16,68965.59780161941,155,1
17,60708.778161863935,103,1
18,74690.6273615742,225,1
19,70185.12664190878,167,1
20,52968.42600877192,59,1
21,61990.11571383069,159,1
22,57706.949164086705,123,1
23,75688.67532745891,215,1
24,63586.77582355919,125,1
25,53505.61178301382,67,1
26,57959.994749345096,89,1
27,60585.71265048226,93,1
28,66238.00437485117,179,1
29,57716.119881916326,89,1
30,56353.29351824841,61,1
