run,fitness,n_evaluations,experiment_id
0,107225.22261544701,65,6
1,131297.52409745907,181,6
2,120532.70314191747,145,6
3,117347.00501830647,153,6
4,120019.91356527814,167,6
5,133675.78869104967,115,6
6,107442.82049356776,71,6
7,132985.7651002754,255,6
8,113652.95809949533,91,6
9,136536.5259367219,113,6
10,121644.20764070303,111,6
11,137126.3053203098,197,6
12,130370.928325299,193,6
13,125543.32857258961,179,6
14,124834.18006138195,233,6
15,100613.29625862396,61,6
16,123884.82109040918,101,6
17,118984.64970168231,139,6
18,111461.61864854618,71,6
19,127957.76622400692,157,6
20,119452.54211132422,135,6
21,124697.59819618163,139,6
22,132403.1623894031,187,6
23,119235.61991595596,127,6
24,129229.68601781945,107,6
25,114994.5861182885,97,6
26,119614.54749778096,115,6
27,120608.99079862464,177,6
28,119361.5534238686,177,6
29,113606.29030348317,71,6
30,113807.65212330341,99,6
