run,fitness,n_evaluations,experiment_id
0,529636.6901559449,147,8
1,453661.6225375219,133,8
2,558314.2658658983,245,8
3,511634.9416129779,111,8
4,534216.4009639395,237,8
5,517297.22393130034,105,8
6,466522.66540443,135,8
7,538516.8427809414,151,8
8,472699.13756528613,143,8
9,500938.7285767026,99,8
10,555406.3187985277,121,8
11,480101.45542046515,123,8
12,488692.46171378286,101,8
13,515706.9156859735,65,8
14,495092.61917691346,113,8
15,471046.8995281723,101,8
16,462476.58927774505,147,8
17,639984.7188279185,225,8
18,471472.2605236394,57,8
19,465029.41367318475,99,8
20,530043.2335817028,219,8
21,425855.9556780435,93,8
22,504992.57515228074,85,8
23,489203.6027653022,177,8
24,510073.5182316684,157,8
25,553089.0170666955,109,8
26,510770.2515153212,101,8
27,451697.68603481835,69,8
28,524856.8710923021,177,8
29,503720.1979504752,101,8
30,532955.1665585728,191,8
