run,fitness,n_evaluations,experiment_id
0,188197.19642657333,129,2
1,198889.2519410465,213,2
2,209385.0226359035,123,2
3,184100.07736815303,189,2
4,173562.42973029293,119,2
5,177781.16029292683,165,2
6,166270.65191499237,47,2
7,206517.63648818716,165,2
8,185016.80951595615,157,2
9,211394.13148190032,189,2
10,179932.74604880577,87,2
11,172283.8443849402,93,2
12,196414.7940876796,137,2
13,208303.9829793131,169,2
14,181032.88010048287,175,2
15,183581.61953118787,123,2
16,178626.11378840185,115,2
17,223099.10127441955,207,2
18,175862.1195310969,117,2
19,161077.73694971568,125,2
20,193495.21935262368,133,2
21,197487.2700908947,165,2
22,188304.43759987497,103,2
23,203613.8064468993,169,2
24,177252.01534749346,113,2
25,173621.0570148845,81,2
26,187060.03409190685,93,2
27,171382.16317337457,105,2
28,182006.43887645676,99,2
29,153586.14313183873,63,2
30,176028.6981556124,129,2
