run,fitness,n_evaluations,experiment_id
0,20860.02666291397,167,4
1,20517.61159090909,99,4
2,18086.893851700024,83,4
3,19872.65706855006,131,4
4,19795.577790209787,59,4
5,17764.974558566435,101,4
6,21403.552036906243,131,4
7,20485.67959210526,231,4
8,16468.87957368421,67,4
9,21311.468157342664,189,4
10,20131.61756349535,109,4
11,25570.098113488442,223,4
12,22567.376952084192,101,4
13,21756.16726748252,181,4
14,19687.19527198449,65,4
15,17238.76570207379,69,4
16,26625.68366431243,253,4
17,18050.096813157892,59,4
18,19934.50855750589,61,4
19,16999.243942510126,51,4
20,23275.139406905593,135,4
21,19666.47856234818,115,4
22,19450.529644736846,117,4
23,23210.056936019944,147,4
24,19207.72223026316,139,4
25,22677.91117888796,135,4
26,19401.159127320952,197,4
27,18836.8461618421,131,4
28,20543.69023667711,85,4
29,17821.651320128527,53,4
30,19220.86003815789,127,4
