run,fitness,n_evaluations,experiment_id
0,70324.41133626782,151,5
1,57547.36862196373,169,5
2,63796.703986394685,155,5
3,71667.12346747427,231,5
4,63803.11983087795,91,5
5,60966.90200315679,191,5
6,57386.31127283402,131,5
7,60093.781555970854,127,5
8,60858.76918022097,103,5
9,55646.081234544814,141,5
10,62376.1141004647,131,5
11,54463.09593069989,93,5
12,52026.2373996848,95,5
13,60021.410583364006,153,5
14,62301.1200990146,107,5
15,62957.08132097253,243,5
16,57562.45414394204,75,5
17,65770.77856159763,87,5
18,58838.97703845984,89,5
19,56159.01047617935,71,5
20,56640.44455626684,113,5
21,61568.907481646536,157,5
22,60208.08269988447,179,5
23,62753.36105633989,207,5
24,65058.9316960917,99,5
25,55453.375977604635,87,5
26,51432.73332640086,83,5
27,61651.51972028908,133,5
28,59820.22360183741,149,5
29,54268.574968204666,71,5
30,58292.400980590755,93,5
