run,fitness,n_evaluations,experiment_id
0,214399.71124003548,1000,2
1,221125.71093718195,1000,2
2,257778.20888350045,810,2
3,210971.31879028742,840,2
4,221458.80395325,620,2
5,225999.42118520307,1000,2
6,213535.4762718306,510,2
7,202619.29549719163,620,2
8,204631.76698155934,1000,2
9,213951.32979352222,1000,2
10,215977.84066975728,1000,2
11,212896.52130399537,590,2
12,206736.5437385615,750,2
13,234286.1667678523,960,2
14,214227.8499302412,1000,2
15,205559.04633404777,560,2
16,210097.94457747877,650,2
17,220778.4963953395,530,2
18,210969.2624355998,520,2
19,224511.7729423276,1000,2
20,194925.10680244217,510,2
21,209761.49818790198,940,2
22,222549.66695616022,1000,2
23,208225.49054913872,1000,2
24,223699.5351082995,890,2
25,211176.00168415814,960,2
26,205560.33404571793,1000,2
27,225954.79128311574,580,2
28,217399.90176210596,1000,2
29,214498.88865999843,1000,2
30,215844.3101374732,820,2
