run,fitness,n_evaluations,experiment_id
0,502914.9674190785,1000,8
1,504430.9608704061,1000,8
2,507839.82163925795,610,8
3,511033.7314665948,590,8
4,480991.9369353113,1000,8
5,515440.16539754363,790,8
6,484465.566180055,730,8
7,522140.5272665917,930,8
8,508667.6581748591,1000,8
9,501789.04285528325,700,8
10,505173.9752224901,720,8
11,549110.2045291999,840,8
12,490998.50158150756,1000,8
13,547514.2238961172,1000,8
14,499033.0188035526,920,8
15,484013.53844878497,640,8
16,511380.101762097,1000,8
17,500139.2485342353,790,8
18,487862.42697494454,770,8
19,477338.1199783035,790,8
20,493041.123721981,1000,8
21,532221.9744316508,970,8
22,486557.3575802562,540,8
23,523111.36693300545,1000,8
24,537514.4488394884,710,8
25,514644.0145559925,720,8
26,543584.7314449141,1000,8
27,518221.76473283453,520,8
28,493418.3480442331,1000,8
29,480282.54847852973,600,8
30,479676.5381499583,670,8
