run,fitness,n_evaluations,experiment_id
0,366029.4577110624,1000,3
1,387277.88071423944,1000,3
2,373014.06948986795,850,3
3,376412.94738569576,550,3
4,359745.54209564667,680,3
5,388351.2516231496,1000,3
6,382238.4930427695,1000,3
7,382841.71076847333,830,3
8,370011.9312971339,1000,3
9,375728.82963721565,1000,3
10,387892.4474327582,1000,3
11,422103.3605252869,830,3
12,393267.65745324455,1000,3
13,400721.40212906036,590,3
14,360038.13436668756,530,3
15,359039.387038436,710,3
16,357609.08710013557,510,3
17,370028.58272160764,1000,3
18,387898.47428353253,990,3
19,405544.5073807798,930,3
20,376673.1441024414,930,3
21,385308.4155997639,660,3
22,388227.4229411396,1000,3
23,394208.666620606,1000,3
24,381910.5399940461,1000,3
25,379314.4600396649,1000,3
26,363884.41281331074,620,3
27,381449.460036724,810,3
28,403638.73218243005,800,3
29,388242.45738059963,750,3
30,375937.11487313005,1000,3
