run,fitness,n_evaluations,experiment_id
0,65767.14926421264,1000,5
1,72276.65248590717,780,5
2,68315.2895781045,1000,5
3,60019.80141299829,1000,5
4,72126.21000571645,610,5
5,63203.264183628875,740,5
6,64015.40272195106,660,5
7,70140.17542835635,510,5
8,69883.72678138921,650,5
9,64029.74337542111,840,5
10,62766.21669483012,860,5
11,66586.75414496989,870,5
12,62233.31330644696,870,5
13,70309.82017832142,610,5
14,60160.0637937042,560,5
15,65920.08463361676,930,5
16,65975.73004458424,650,5
17,64158.92513786847,870,5
18,71627.38092365718,1000,5
19,64465.610436763396,940,5
20,64569.63039262335,1000,5
21,72882.49613797065,1000,5
22,68064.10207405052,1000,5
23,64042.77880034426,500,5
24,65645.20402285358,740,5
25,66061.80845948258,690,5
26,68641.17347236059,580,5
27,60992.82983188545,530,5
28,63955.43057664659,890,5
29,68279.54921284295,1000,5
30,66114.85185658625,840,5
