run,fitness,n_evaluations,experiment_id
0,59632.0875020243,780,1
1,58977.80484917044,510,1
2,63436.18197197023,660,1
3,64664.874222433915,720,1
4,63733.7941363023,530,1
5,62676.08624553465,820,1
6,61329.3092537112,1000,1
7,65706.69940764665,1000,1
8,58742.53174287529,670,1
9,59556.28478169406,540,1
10,59159.12495951416,1000,1
11,62115.31214177617,520,1
12,61882.85693841245,600,1
13,64276.58012935618,1000,1
14,57533.91198896562,570,1
15,65353.027910216726,520,1
16,63470.27980352464,660,1
17,60130.5058175756,1000,1
18,62827.079953993365,520,1
19,66157.58114769387,740,1
20,69216.55322243391,1000,1
21,61153.52058347226,780,1
22,58908.703340369626,500,1
23,66845.9189388148,1000,1
24,63325.409233627055,1000,1
25,61678.16809875365,930,1
26,69320.25392920933,1000,1
27,68252.87183265857,1000,1
28,60857.74388763198,880,1
29,65176.75463566362,560,1
30,60821.77557847106,980,1
