run,fitness,n_evaluations,experiment_id
0,134260.7036226748,1000,6
1,130118.41757155044,670,6
2,135117.32539420025,1000,6
3,122800.8372499655,870,6
4,130827.00088282936,500,6
5,130013.28771923776,510,6
6,134044.05087615334,750,6
7,122414.62376821217,900,6
8,129569.56369802373,920,6
9,131643.83611451573,1000,6
10,140137.35425215293,720,6
11,135695.3125366397,750,6
12,122311.13215623789,580,6
13,143986.33463436316,670,6
14,141113.10396746048,1000,6
15,131666.7405658508,1000,6
16,131939.90182615246,1000,6
17,118996.98967352702,720,6
18,131915.5177882043,700,6
19,125601.32662033685,1000,6
20,137064.91780436272,710,6
21,140725.94188077503,610,6
22,127488.84790527356,1000,6
23,134563.95307186444,700,6
24,137874.00398094536,860,6
25,131335.83948286242,690,6
26,146251.41485310972,1000,6
27,125034.87769489833,500,6
28,130055.6563751368,610,6
29,136572.67303573736,1000,6
30,140302.2831451529,630,6
