run,fitness,n_evaluations,experiment_id
0,23480.004666805147,940,4
1,22944.14266504724,920,4
2,22716.6143654521,1000,4
3,24337.50881207589,930,4
4,19224.54767763158,1000,4
5,22184.317744425978,510,4
6,20762.069618421057,1000,4
7,21849.959172952433,1000,4
8,21844.65817689277,560,4
9,19915.593606848328,980,4
10,21002.329075429214,550,4
11,23167.197195679266,540,4
12,23974.970690347593,660,4
13,21366.43998251748,1000,4
14,20045.459281649382,750,4
15,19896.3060527128,510,4
16,20501.63623776224,1000,4
17,22621.933657472557,1000,4
18,22917.72800614504,920,4
19,20336.649506390164,500,4
20,20240.709144736844,1000,4
21,21928.26834857867,810,4
22,20593.78522368421,700,4
23,22828.390718044593,1000,4
24,21746.00441971573,1000,4
25,20397.32504370629,840,4
26,20837.1919055944,1000,4
27,20551.21261851941,540,4
28,23413.961173660155,790,4
29,21657.19481119242,790,4
30,22779.12622919263,750,4
